"y","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
0,0.248477407,43,0,0.412845775,15833,18,0,4,1,1
0,0.001181782,55,0,0.301587302,8000,6,0,1,0,2
1,0.994575045,46,4,0.532481954,1800,5,1,0,0,0
0,0.539243994,43,0,0.411431428,6000,13,0,1,0,3
0,0.011340772,36,0,1.785153462,1400,5,0,1,0,0
0,0.832093225,32,1,1.405547226,1333,8,0,0,0,0
0,0.277579812,40,0,0.130450258,5618,8,0,0,0,0
0,0.103219407,50,0,0.251874063,2000,17,0,0,0,0
0,0.743784428,63,1,1.052838272,2800,12,0,1,0,0
0,0.229301183,39,1,0.191686902,7000,6,0,0,0,1
0,0.530254642,85,0,0.847346172,2128,10,0,0,0,0
0,0.009310768,49,0,1.686209194,1500,12,0,2,0,0
0,0,51,0,0.246840775,3560,5,0,0,0,0
0,0,88,0,0,3627,1,0,0,0,0
0,0.672107729,45,0,0.098227304,13030,9,0,0,0,3
0,0.074968264,37,1,0.506143407,5452,10,0,2,0,0
1,0.115942029,41,0,0.495624421,9712,49,0,2,0,4
0,0.9999999,49,0,0.244536495,7000,10,0,1,0,3
0,0.073759959,41,0,0.154222367,9200,5,0,1,0,2
0,0,45,1,0.255902999,4700,9,0,1,0,1
0,0,39,0,0.232965009,8687,4,0,1,0,4
0,0.9999999,37,0,0.04220659,2700,4,0,0,2,0
0,0.069182748,64,0,0.486093438,5500,8,0,1,0,0
0,0.259617356,36,0,0.155845887,7500,9,0,0,0,1
0,0.219830525,64,0,0.267868098,13039,8,0,2,0,0
0,0.979001909,45,0,0.226286272,4100,3,0,0,0,2
0,0.071856287,59,0,0.000428449,2333,1,0,0,0,0
0,0.104412316,55,0,0.206264999,7916,5,0,1,0,1
0,0.062945712,65,0,0.121428571,5459,4,0,1,0,0
0,0.170232107,66,0,5.639694656,4584,5,0,1,0,0
0,0.055878172,36,0,0.291883304,6923,5,0,1,0,2
0,0.199930587,60,0,0.48575747,8600,9,0,2,0,0
0,0,44,0,0.562304134,6700,7,0,2,0,3
0,0.259803584,43,0,0.675510204,12249,9,0,2,0,0
0,0.259601325,52,0,0.377116237,8800,19,0,1,0,3
0,0.036422035,30,0,1756,1,10,0,2,0,0
0,0.048850024,57,0,0.327686754,3600,11,0,1,0,1
0,0.426167869,60,0,0.320035993,3333,18,0,0,0,0
0,0.308392568,65,1,0.193902639,6100,6,0,2,0,0
0,1.368871966,60,0,0.039417309,3500,5,3,0,1,0
0,0.061580767,52,0,0.001280333,33584,4,1,0,0,0
0,0.491894475,38,0,0.237560546,9083,10,0,2,0,2
0,0.247153178,38,1,0.845089436,2962,9,0,1,0,2
0,0.908099614,44,4,0.7880731,3118,17,0,2,0,1
0,0.248067675,64,0,0.162365489,10500,26,0,1,0,0
0,0.202104091,73,0,0.341987466,5584,12,0,1,0,1
0,0.224519566,76,0,0.462710251,3150,6,0,1,0,0
0,0.011257685,42,1,0.351699534,10090,12,0,2,0,2
0,0.260103392,40,0,0.34351806,8083,12,0,2,0,0
0,0.235705461,69,0,0.321709079,6365,14,0,1,0,0
0,0.234263666,63,0,0.212473441,8000,20,0,0,0,0
0,0.016995824,34,0,0.009497626,4000,16,0,0,0,0
0,0.106408044,47,0,0.166871303,8958,5,0,2,0,3
0,0.001557717,82,0,0.000953516,4194,12,0,0,0,0
0,0.106507235,42,0,0.031446541,6200,7,0,0,0,2
0,0.05746317,47,0,0.280371963,10000,12,0,2,0,0
0,0.562427342,35,0,0.138476921,6000,5,0,0,0,2
0,0.452309538,31,0,0.019137389,3500,1,0,0,0,0
1,0.059548294,42,0,0.514193894,5600,20,0,2,0,3
0,0.544760802,47,0,1.272273106,1200,4,0,1,0,2
0,0.283701482,53,1,0.514631685,990,6,0,0,0,0
0,0.114514721,93,0,0.03832056,3000,3,0,0,0,0
0,0.007567506,65,0,0.439312138,5000,16,0,4,0,0
0,0.069265438,71,0,0.205104592,7600,12,0,1,0,1
0,0.817888577,72,0,0.526617527,1220,5,0,0,0,0
0,0.606717088,42,0,0.316537298,7600,7,0,2,0,2
0,0.044180415,31,0,0.098152075,3300,10,0,0,0,0
1,0.227610774,33,0,0.893076608,2440,5,0,1,0,2
0,0.521173526,39,1,0.345356701,13750,13,0,2,0,3
0,0,57,0,0.234574468,3759,7,0,1,0,2
0,1.065946703,60,0,0.77870274,5765,11,0,2,0,0
0,0.299786422,76,0,0.138246215,3500,11,0,0,0,0
0,0.241061902,32,0,0.171637249,4928,5,0,0,0,2
0,0.199920002,61,0,0.287260917,11083,11,0,3,0,0
0,0.396591789,33,0,0.427445831,6091,15,0,2,0,0
0,0.183517628,50,0,0.553116769,3416,6,0,1,0,1
0,0.276352077,45,0,0.677760169,3785,16,0,1,0,0
0,0.830725797,50,0,0.263945327,5413,4,0,1,0,1
0,0.017795163,27,0,0.276939094,1920,7,0,0,0,0
0,0.000547236,32,0,0,3050,3,0,0,0,0
0,0.871251499,52,0,0.248187953,4000,5,0,1,0,1
0,0.191876794,46,0,0.254334645,9400,12,0,3,0,0
0,0.936539681,46,1,0.111131606,10842,6,0,0,0,1
0,0.232633891,68,0,0.531039293,4300,15,0,2,0,0
0,0.759771771,37,0,0.369363064,10000,10,0,1,0,3
1,0.684835727,47,1,0.578771696,2995,7,0,1,1,2
0,0.675681323,62,2,0.415011865,8006,18,0,1,0,0
0,0,29,0,0.02238806,1473,4,0,0,0,0
0,0,32,0,0.238415689,5200,4,0,1,0,2
0,0.072329519,67,0,0.219668706,6700,13,0,2,0,0
0,0.423593414,35,0,0.411294353,2000,9,0,0,0,1
0,0.9999999,61,0,0.224502684,3166,3,0,0,0,2
0,0.286119348,49,0,0.554428044,2167,8,0,0,0,0
0,0.373860377,71,0,0.692261548,5000,17,0,2,0,0
0,0.089836407,68,0,0.041848844,1600,7,0,0,0,0
0,0.569575051,60,0,0.184605241,6066,8,0,0,0,0
0,0.129846754,51,0,0.156321055,17591,8,0,1,0,4
1,0.9999999,42,0,0,4000,1,0,0,2,2
0,0,46,0,0.130537601,12685,8,0,0,0,3
0,0.30979409,57,0,0.488888889,12059,6,0,2,0,1
0,0.182922812,57,0,0.422670778,10700,13,0,2,0,2
0,0.9999999,29,0,0.114628457,3000,1,0,0,0,3
0,0.014646772,73,0,0.198146002,5177,8,0,1,0,0
0,0.024836704,56,0,0.368625708,9000,10,0,1,0,3
0,0.05425998,66,0,0.070394368,12500,13,0,1,0,1
0,0.167976738,62,0,0.22578802,10500,14,0,1,0,0
0,0.005629213,30,0,0.00338696,3542,5,0,0,0,0
0,0.069669276,32,0,0.100445663,5833,8,0,0,0,0
0,0.196452998,44,0,0.346107544,4983,8,0,2,0,0
0,0.985355015,32,0,0.133402995,2870,4,1,0,0,2
0,0.195583683,43,0,0.329858379,5083,9,0,1,0,0
0,0.040676107,45,0,6.812,249,8,0,2,0,0
0,0.238644936,46,0,0.087090559,5189,12,0,0,0,0
0,0.229887021,62,0,0.449318835,8000,13,0,2,0,0
0,0.006212502,35,0,0.504338195,5416,9,0,2,0,3
0,0.9999999,58,0,0.357828434,3333,8,0,1,0,0
0,0.124980933,69,0,1.054629444,4978,8,0,3,0,0
1,1.08994004,48,3,0.097758955,17000,6,0,0,2,3
0,0,57,0,0,2500,1,0,0,0,1
0,0.049382255,55,0,0.095419484,10500,5,0,1,0,2
0,0.306656645,54,0,0.380134887,3261,11,0,1,0,1
0,0.062109901,75,0,0.022283592,10500,7,0,1,0,0
0,0.566472237,56,0,0.155968217,11200,5,0,1,0,2
1,0.04047976,69,1,0.370708388,2300,7,0,0,0,0
0,0.006718984,50,0,0.758570029,4083,12,0,1,0,2
0,0.09595235,49,0,0.04147926,2000,6,0,0,0,0
0,0.01896458,57,0,0.861018993,3316,8,0,3,0,0
0,0.023070879,58,0,0.56238574,4375,10,0,1,0,1
0,0.000210837,51,0,1.491940683,1550,8,0,2,0,0
0,1.006578601,50,2,1.308075773,3008,9,0,2,0,2
0,0.22960494,43,0,0.124459691,14574,4,0,1,0,1
0,0.129319678,44,0,0.30786644,5300,12,0,2,0,3
0,0.979120835,60,2,0.137193475,9256,5,0,0,0,0
0,0.155958071,43,0,0.293288934,3903,20,0,2,0,1
1,0.508745627,52,2,0.189944134,3400,5,0,0,0,0
0,0.741100324,35,0,0.18102687,7926,4,0,0,1,0
1,0.775736287,27,1,0.390724799,3600,8,0,0,0,1
0,0.536370903,76,0,0.45324768,1400,10,0,1,0,0
0,0.006013618,68,0,0.505208333,1343,6,0,1,0,1
0,0.07495989,70,0,0.323202518,10166,5,0,2,0,0
0,0.976808022,48,1,0.361383045,4800,14,0,0,0,1
1,0.872255489,26,0,0.116878124,2600,2,1,0,0,0
0,0.064306266,53,0,0.177934663,52833,24,1,2,0,0
0,0.137993429,39,0,0.310157195,6615,7,0,1,0,2
0,0.522095581,67,0,78,0,3,0,0,0,0
0,0.007948357,39,0,0.685662867,3333,11,0,1,0,0
0,0.852814719,50,0,0.543025733,6100,5,0,1,0,0
0,0.000499917,43,0,1.003536247,3958,7,0,2,1,2
1,0.017558727,47,0,0.53540175,2513,10,1,1,0,0
0,0,77,0,0.070158805,4218,3,0,0,0,0
0,0.238663352,61,0,0.606949421,12000,18,0,2,0,1
0,0.455814994,61,1,1.378330373,3377,11,0,1,0,0
0,0.02779791,67,0,0.649973918,1916,15,0,1,0,0
0,0.9999999,42,0,0.243243243,1812,1,0,0,0,3
1,0.395280629,46,0,0.431982232,1800,6,0,0,1,0
1,0.889851691,38,1,0.450670876,3800,8,0,2,0,1
0,0.332508131,43,0,0.407499048,5253,7,0,1,0,3
1,0.04077472,42,1,0.043191362,5000,7,0,0,0,0
0,0.003157819,53,0,0.110353939,14380,12,0,2,0,1
0,0.21774704,38,0,0.113045524,8500,24,0,0,0,0
1,0.9999999,31,0,0.017414766,4076,1,0,0,0,0
1,0.517089158,56,0,0.361330935,5559,15,1,1,0,1
0,0.293030848,46,0,0.588941106,10000,13,0,1,0,2
0,0.9999999,60,0,0.311211099,8000,8,0,1,0,0
0,0.224863866,70,0,0.411786104,5497,13,0,1,0,1
0,0.143474345,43,0,0.547531769,8183,16,0,2,0,1
0,0.112656326,64,0,0.190854871,6538,7,0,1,0,1
0,0.004888825,70,0,0.001896225,5800,7,0,0,0,0
0,0.377415092,55,0,0.998857469,3500,9,0,1,0,0
0,0.020379857,34,0,0.339871284,3262,9,0,0,0,0
0,0.069563807,32,0,0.482886598,2424,7,0,2,0,0
0,0.606419363,26,0,0.127956989,929,4,0,0,0,0
0,0.015816744,69,0,0.598343685,2414,10,0,1,0,0
0,601,69,0,0.001783591,10091,4,0,0,0,0
0,0.16579171,67,0,0.302989552,9666,8,0,1,0,0
0,0,53,0,0.421883877,8800,14,0,3,0,0
0,0.102626617,31,0,0.127582989,7500,13,0,0,0,0
0,0.100108468,47,0,0.19255309,10500,25,0,2,0,0
0,0.940882353,34,0,0.398629883,5400,4,0,1,0,1
0,0.9999999,23,0,0.02247191,800,1,0,0,0,0
0,0.013777268,70,0,0.233933162,3500,6,0,1,0,0
1,0.073896305,51,0,0.359477124,2600,4,0,2,0,1
0,0.994632144,30,1,0.193654822,3939,5,0,0,0,0
0,0.777688924,25,0,0.133333333,3569,5,0,0,0,4
0,0.313227706,50,0,0.954783436,2100,7,0,2,0,0
0,1.740863787,42,0,0.131843346,4876,3,2,0,1,1
0,0.009203336,79,0,0.001201442,9987,6,0,0,0,0
0,0.267839026,84,0,0.272265805,6500,14,0,0,0,0
0,0.266780018,44,0,0.177355153,6782,17,0,1,1,1
0,0.009602104,81,0,0.371318822,5466,12,0,2,0,0
0,0.368234186,27,0,0.198546115,2200,2,0,0,0,0
0,0.9031627,61,0,0.146911898,4403,5,0,0,0,1
0,0.121756487,25,0,0.000475737,2101,1,0,0,0,0
0,0.080890479,42,0,0.034407777,7817,2,0,0,0,1
0,0,52,0,0.354823228,6250,11,0,2,0,0
0,0.229084335,47,0,0.476668074,9471,10,0,2,0,3
0,0.032762779,37,0,0.442592901,6000,8,0,2,0,0
0,0.453938883,59,0,0.2602417,22920,12,0,2,0,1
0,0.9999999,24,0,0,820,1,0,0,0,0
0,1.161676647,31,0,0.145143365,4498,2,0,0,0,1
0,0.137772675,80,0,0.010184242,10800,7,0,0,0,2
0,0.176770862,52,0,0.50655709,5718,19,0,1,0,4
0,0.012916398,69,0,1.035575175,3850,7,0,2,0,0
0,0.0506583,40,0,0.313483311,6800,15,0,1,0,1
0,0.017032766,39,0,0.351989281,9701,5,0,1,0,2
0,0.381794972,67,1,0.187762448,5000,17,0,0,0,0
0,0.132148226,34,0,0.207817337,2583,5,0,0,0,0
0,0.00032383,57,0,0.309880006,12833,13,0,2,0,2
1,0.075022023,48,0,0.278307612,5766,13,0,2,0,1
0,0.306986638,67,0,0.38263478,12000,12,0,2,0,0
0,0.276844799,43,0,0.456916667,11999,11,0,3,0,2
1,0.666720858,50,0,0.103035578,18381,10,0,1,1,1
0,0.394641157,50,2,2.494793836,2400,17,0,4,0,2
0,0.053092456,47,0,1807,0,7,0,1,0,0
0,0.044437302,74,0,0.362485002,7500,26,0,3,0,0
1,0.882193232,46,0,1.063873911,2410,16,0,2,0,0
0,0.303305485,46,0,0.492429292,10500,11,0,1,0,0
1,0.874402434,46,2,0.030777256,1916,2,0,0,0,2
0,0.02235181,60,0,0.046781287,2500,8,0,0,0,0
0,0.1007041,44,3,0.63384154,4000,7,1,2,4,3
0,0.268943475,55,0,0.127325922,8544,5,0,0,0,0
0,0.209326383,50,1,0.357897517,3785,13,0,1,0,1
0,0.470334497,64,0,0.492231964,6500,5,0,2,0,0
0,0.9999999,30,0,0.239940015,4000,3,0,2,0,0
0,0,48,0,0.087719298,2450,2,0,0,0,0
0,0.060110939,35,0,0.221446179,4867,7,0,0,0,1
1,0.17169154,40,0,0.384676776,6264,4,0,1,0,0
0,0.024772088,89,2,0.052836485,1797,11,0,0,1,0
0,0.252948543,36,1,0.306716315,7250,8,0,1,0,0
0,0.967583399,56,0,0.384477658,12845,11,0,1,0,4
0,0.027963874,84,0,0.00879824,5000,4,0,0,0,0
0,0.850196863,37,0,0.921052632,1747,9,0,0,0,1
0,0.050715485,53,0,0.120989918,12000,10,0,1,0,4
0,0.050716341,44,0,0.241663969,6177,14,0,1,0,0
0,0.02598399,62,0,0.085702043,7000,8,0,1,0,1
0,0.624375624,65,2,0.202109939,1800,3,0,0,0,0
0,0,53,0,0.219132029,3271,2,0,1,0,1
0,0.903409659,42,0,0.127925557,10638,6,0,0,0,2
0,0.434355024,37,0,0.446968485,6250,9,0,2,0,3
0,0.338899387,43,1,0.482211114,3400,7,0,1,0,2
0,0.054374171,59,0,0.287040343,2800,15,0,1,0,0
0,0.675990968,83,1,0.239534117,9100,12,0,2,0,0
0,0.065410255,49,0,0.487331457,6748,10,0,1,0,0
0,0.015809022,84,0,0.00419916,3333,3,0,0,0,0
0,0.9999999,29,0,0.52567015,2200,4,0,1,0,1
0,0.044999328,46,0,0.181723347,9585,5,0,1,0,0
0,0.077830739,57,0,0.505415508,10432,12,0,2,0,0
1,0.061622376,49,1,0.273860911,8339,11,0,2,0,1
0,0.96182011,32,0,0.195915763,4700,10,0,0,0,0
0,0.120199176,57,0,0.023577236,3689,2,0,0,0,0
0,0.163690887,42,1,0.517956085,4872,12,0,1,0,1
0,0.244065375,54,0,0.04132415,4500,7,0,0,0,2
1,0.098532359,46,0,0.091918883,9812,6,0,0,0,0
0,0.878144215,47,1,0.776990413,4797,15,0,1,0,2
0,0.079140245,74,0,0.356842282,5940,6,0,2,0,0
0,0.002558573,70,0,0.003142678,1590,12,0,0,0,0
0,0.524108935,51,0,1.064736347,4247,16,0,3,0,1
0,0.192734545,44,1,0.437093818,6000,9,0,1,0,0
0,0.9999999,48,0,0.289402174,2207,3,0,0,0,1
0,0.056319168,60,0,0.552516042,11843,24,0,2,1,0
0,0,49,0,0.033986405,2500,2,0,0,0,0
1,0.982131461,37,0,0.326033137,5250,11,0,1,0,2
0,0.138322707,52,0,0.368763124,10000,10,0,2,0,3
0,0.687986567,29,1,0.102435978,1600,6,0,0,0,0
0,0.936412246,61,0,0.230235969,7500,11,0,2,0,0
0,0.589924289,60,0,0.430851064,8083,4,0,2,0,0
0,0.019876235,54,0,0.142973303,7378,7,0,2,0,1
0,0,57,0,0.271124342,13100,7,0,2,0,0
1,0.078122966,46,1,0.159613462,3000,7,0,0,0,0
0,0.044612965,72,0,0.314595661,6083,15,0,1,0,0
0,0.085095745,63,0,0.381252186,2858,7,0,1,0,1
0,0.820589705,36,0,0.430622634,7660,6,0,3,0,1
0,0.584510395,30,1,0.159976123,6700,13,0,0,2,0
0,0.9999999,55,0,0.008883953,1800,0,1,0,0,0
0,0.826293427,27,0,0.670428894,3100,6,0,1,0,0
0,0.066364928,43,0,0.424846129,6173,6,0,2,0,2
0,0.706264687,36,1,0.149492017,6200,4,0,0,0,2
0,0.047094941,61,0,0.138395488,11878,8,0,1,0,1
0,0.414011095,59,0,0.282354598,7100,4,0,1,0,1
0,0.028268551,59,0,0.589764094,2500,9,0,1,0,0
0,0.385384551,38,0,1.053037608,1036,4,0,1,0,0
0,0.704590818,29,0,0.809190809,1000,5,0,0,0,0
0,0,41,0,0.234168174,10500,14,0,1,0,3
0,0.9999999,36,0,0.829088312,4200,9,0,2,0,0
0,0.013990614,60,0,0.599066874,6429,11,0,2,0,3
1,0.682878081,36,1,0.437164879,5967,5,1,1,3,2
0,0.416638891,61,0,0.051589682,5000,16,0,0,0,0
0,0.055879827,46,0,0.366880644,9190,6,0,1,0,0
0,0.906952612,54,0,0.413842906,9000,8,0,1,0,2
0,0.276303817,68,1,0.572914973,6150,15,0,2,0,0
0,0.013355707,62,0,0.001407841,9233,4,0,0,0,3
0,0.345045014,28,0,948,0,14,0,0,0,0
0,0.268373297,63,0,0.213243731,6100,11,0,0,0,1
0,0.331608046,41,0,0.717276901,8930,13,0,3,0,1
0,0.457304328,49,0,0.135796204,9852,7,0,0,0,2
0,0.09792749,49,0,0.322875366,5800,11,0,1,0,2
0,0.332702403,56,0,0.866522106,8300,15,0,3,0,3
0,0.9999999,48,0,0.007184768,8350,1,1,0,0,3
0,0.540790534,44,0,0.23488694,4333,5,0,0,0,0
0,0.047409964,45,0,0.361050328,9139,10,0,1,0,0
0,0.9999999,23,0,0.107892108,1000,1,0,0,0,0
0,0.019222685,73,0,0.188144948,4166,12,0,0,0,0
0,0.343803306,27,0,0.178486435,2100,3,0,0,0,0
0,0.10559472,67,0,0.074442864,2108,3,0,0,0,0
0,0.266084319,47,2,0.597281596,9122,13,0,2,0,1
0,0.492287351,45,3,0.30830758,5500,8,2,1,2,1
0,0.047834838,41,0,0.602011946,22266,21,0,12,0,2
0,0.197921935,40,0,0.414597567,6000,9,0,1,0,1
0,0.333533323,44,0,0.094520731,7500,5,0,0,0,3
0,4.23e-05,51,0,0.06587473,8333,7,0,0,0,1
0,0.9999999,41,0,0.02467344,2066,1,0,0,0,0
0,0.574252926,49,0,0.319736053,3333,9,0,1,1,3
0,0.24870052,23,0,0.598442714,898,3,0,0,0,0
0,0.59906091,57,0,0.40042735,2339,4,0,0,0,1
0,1.0469031,51,2,0.212474538,14236,12,0,1,0,2
0,0.061686215,57,0,0.292212654,5341,9,0,1,0,1
0,0.184605918,29,0,0.533366658,4000,5,0,1,0,0
0,0.9999999,39,0,0.083486086,6000,5,0,0,0,0
0,0.288381654,63,0,0.080711789,6293,9,0,0,0,1
0,0.013835511,29,0,0.001190193,4200,4,0,0,0,3
0,0.74712216,54,0,0.94174059,4170,10,0,4,0,0
0,0.000379397,88,0,0.280287885,2500,7,0,2,0,0
0,0.271510441,48,0,0.53014827,3034,7,0,1,0,3
0,0,80,0,0,12500,2,0,0,0,0
0,0.0779961,65,0,0.226310948,25000,7,0,2,0,0
0,0.04256613,65,0,0.29615641,4500,10,0,1,1,0
0,0.683646281,42,1,0.539038527,5865,8,0,1,0,3
0,0.9999999,39,0,0.231239341,7035,4,0,1,0,2
1,0.667004678,39,0,0.597834205,5355,10,0,2,0,3
0,0.49885885,61,0,0.42018586,8500,8,0,2,0,1
0,0.018038323,51,0,0.203967365,6250,23,0,2,0,0
1,0.9999999,44,0,0.00945076,7300,0,5,0,0,2
0,0.093726568,40,0,0.101322075,9000,3,0,1,0,3
0,0.301545717,50,1,6.736318408,200,7,0,2,0,1
0,0.124718061,46,0,0.450556756,6016,13,0,1,0,3
0,0.015713537,43,0,0.393168547,12500,12,0,2,0,2
0,0.023766336,37,0,0.39868869,7930,6,0,3,0,0
1,0.285088431,37,0,0.093381324,5000,4,0,0,1,2
0,0.076761138,55,0,0.150596878,9800,10,0,1,0,2
0,0.005999917,69,0,0.176590538,4903,20,0,2,0,0
0,0.439803549,28,0,0.09353477,4500,4,0,0,0,0
0,0.9999999,50,1,0.131498471,4250,5,1,1,0,0
0,0.58913847,44,0,0.134086591,10000,15,0,0,0,0
0,0.016569135,85,0,0.012215436,1800,2,0,0,0,0
0,0.151248779,63,0,0.236352729,3333,5,0,2,0,0
0,0,56,0,0.31927049,4550,5,0,1,0,0
0,0.768761562,49,0,0.14912613,18480,5,0,1,0,6
0,0.021256536,49,0,0.307874144,12267,7,0,3,1,2
0,0,73,0,0.429819915,3775,4,0,1,0,0
0,0.143489043,43,0,0.446168613,6250,31,0,1,0,0
0,0.447537048,39,0,0.314798044,11041,8,0,2,0,3
0,0.270909184,27,0,0.080195703,4700,9,0,0,0,1
0,0.521122418,32,0,0.212553231,5400,5,0,1,0,0
0,0,42,0,0.04521346,11500,3,0,1,0,1
0,0,43,2,0.393327349,6683,6,0,2,0,2
0,0,64,0,0.00790798,1390,17,0,0,0,0
0,0.096899659,64,0,0.320382802,7000,33,0,1,0,0
0,0.584201442,53,0,0.270218839,2101,5,0,0,0,0
0,0.343757102,47,1,0.668823923,4480,11,0,2,0,2
0,0.195360928,81,0,0.006351292,4565,2,0,0,0,1
0,0.155644438,79,0,0.161186331,4652,4,0,0,0,0
0,0.001280757,48,0,0.535110688,4200,8,0,1,0,0
1,1.009462759,30,2,0.570130264,3300,11,5,0,2,4
0,0.06095791,45,1,0.730150625,3916,12,0,2,0,1
0,0.756749036,38,3,0.210675875,27800,13,3,2,5,2
0,0.001629509,72,0,0.152348225,1745,4,0,1,0,0
0,0.101291734,65,0,0.406348679,12033,6,0,2,0,0
0,0.030041275,73,0,0.004443457,4500,6,0,0,0,0
0,0.095422341,34,0,0.45410628,6416,8,0,2,0,3
0,0.002581083,75,0,0.003331113,1500,9,0,0,0,0
0,0.007249074,78,0,0.166102242,6200,6,0,1,0,0
0,0.785010749,44,0,0.396116198,6333,7,0,1,0,0
1,0,29,0,0.325306679,2200,12,0,0,0,0
0,0.370848936,24,0,0.681233933,3500,9,0,1,0,0
0,0.440137656,29,2,0.090780393,5650,4,0,0,0,0
0,0.040381509,39,0,0.872586176,5540,7,0,2,0,1
0,0.110599078,23,0,0.125860374,3050,3,0,0,0,0
0,0.040991802,88,0,0.057992565,1344,3,0,0,0,0
0,0.006511123,40,1,0.058341863,12700,6,0,0,0,4
0,0.316967356,60,0,0.339900029,3400,7,0,1,0,0
0,0.05051076,45,0,0.220103986,7500,7,0,2,0,2
0,0.188963517,66,0,0.117089921,26500,5,0,1,0,0
0,0.9999999,27,0,0,2745,1,0,0,0,0
0,0.684937866,52,2,0.99660068,5000,19,0,3,0,0
1,0.574031553,44,1,0.222519455,4111,7,0,0,1,1
0,0.01734423,35,0,0.370584315,4500,5,0,2,0,2
0,0.048740506,30,0,0.428103981,5500,8,0,1,0,2
0,0.25498008,32,0,0.000412201,2425,1,0,0,0,1
0,0.020622124,57,0,0.250032675,7650,5,0,1,0,0
0,0.060803457,62,0,0.449477352,6600,7,0,1,0,0
0,0.000109886,76,0,0.659235669,627,5,0,0,0,0
0,0.066437642,64,0,0.121219695,4000,6,0,0,0,0
0,0.021811349,62,0,0.004522733,4200,5,0,0,0,0
1,0.941138526,28,0,0.308996089,2300,4,1,0,0,0
0,0,70,1,0.291852139,5166,8,0,2,0,0
0,0.492643999,55,2,0.827377113,7750,13,0,2,0,0
0,1.032057911,30,1,0.137275064,3889,6,0,0,0,0
0,0.365898179,61,0,0.354940843,6000,8,0,1,0,0
0,0.014239521,82,0,0.007404665,2700,10,0,0,0,0
1,0.886259478,61,2,0.680386602,6000,15,1,2,1,0
